City,State,Latitude,Longitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
WINSLOW,AZ,35.0241873,-110.6973571,60.5,50.5,42,34.5,28.5,24.5,41,47,45,42.5,48,60
YUMA,AZ,32.6926512,-114.6276916,28.5,24.5,21,17,15.5,13.5,22.5,24,24,23,27,32
FORT SMITH,AR,35.3859242,-94.3985475,73,71,69,70,76.5,76,75,74.5,75.5,73.5,73,74
LITTLE ROCK,AR,34.7464809,-92.2895948,72.5,70.5,69.5,72,76,73,74,73.5,74,71.5,72,72
BAKERSFIELD,CA,35.3732921,-119.0187125,73,65,58,49.5,41.5,37,35.5,37.5,41,48,63,71
BISHOP,CA,37.3614238,-118.3996636,52,49.5,38.5,35,31.5,28,30.5,29.5,31.5,36.5,44,50
BLUE CANYON,CA,39.2571225,-120.711046,55.5,61,64.5,58.5,50,42.5,35.5,34.5,40.5,49.5,58,58
FRESNO,CA,36.7468422,-119.7725868,78.5,71.5,65.5,57,48,43,40.5,43.5,47.5,55,69.5,78.5
LONG BEACH,CA,33.7700504,-118.1937395,63.5,66,66.5,65,68,69,68,67.5,68.5,67,65.5,65
LOS ANGELES AP,CA,34.0717938,-118.4425218,65,69,72,71.5,74.5,76,76.5,77,75.5,72.5,67,64
LOS ANGELES C.O.,CA,33.7923477,-118.2510886,56.5,61,62,66,67.5,67.5,66.5,66,63.5,63,54,54
MOUNT SHASTA,CA,41.3098746,-122.3105666,66,60,52,43,39.5,36,28.5,29,33.5,46,62.5,67.5
REDDING,CA,40.5865396,-122.3916754,71.5,65,61,56.5,50.5,43,38.5,38,40.5,50,66.5,71
SACRAMENTO,CA,38.5815719,-121.4943996,79.5,73.5,68.5,63,59,55,53,53,53.5,59,72,77.5
SAN DIEGO,CA,32.715738,-117.1610838,64,67,67.5,67,71,73.5,74.5,74.5,73,70,66.5,65
SAN FRANCISCO AP,CA,37.7514356,-122.4972456,77,75,72.5,70.5,71.5,71,73,73.5,71,70,73.5,76
SAN FRANCISCO C.O.,CA,37.8021131,-122.4488332,63,63,61.5,61.5,68,63.5,65,64.5,58,53,55.5,55.5
SANTA BARBARA,CA,34.4208305,-119.6981901,69,69.5,70.5,69.5,72.5,76.5,78,78,77,72,69,71.5
SANTA MARIA,CA,34.9530337,-120.4357191,71.5,73,74.5,74.5,75.5,76,75.5,76,76.5,73,71,70.5
STOCKTON,CA,37.9577016,-121.2907796,80,74,67.5,60.5,53.5,50,48,48.5,50.5,57,70,79.5
ALAMOSA,CO,37.4694491,-105.8700214,67.5,63.5,54.5,49.5,49,48,58.5,61,57,55,61.5,67
COLORADO SPRINGS,CO,38.8338816,-104.8213634,51.5,50.5,49.5,48.5,52,49.5,53.5,56,52,48,52,53
DENVER,CO,39.7392358,-104.990251,56,55.5,52,51.5,53.5,50.5,50,51.5,50,50.5,57,58
GRAND JUNCTION,CO,39.0638705,-108.5506486,70.5,60.5,49,42,38,30,34,37.5,39.5,46.5,58.5,69
PUEBLO,CO,38.2544472,-104.6091409,59,53.5,50,48.5,50,48,51.5,55,51,51.5,57.5,60
BRIDGEPORT,CT,41.1865478,-73.1951767,63.5,62,61.5,59.5,66.5,68.5,67.5,69,70,68,67,66
HARTFORD,CT,41.7637111,-72.6850932,64,62.5,60.5,56,60.5,64,64,67,69.5,67.5,66.5,66.5
WILMINGTON,DE,39.7390721,-75.5397878,67,64.5,62.5,61,64.5,65.5,66,69,70,69,67.5,67.5
WASHINGTON DULLES AP,D.C.,38.9531162,-77.4565388,65.5,64,62.5,61,67,67.5,67.5,69.5,71,69.5,67,67
WASHINGTON NATIONAL AP,D.C.,38.9071923,-77.0368707,62.5,60,59,58.5,62.5,63,63.5,66,67.5,66,64,63.5
APALACHICOLA,FL,29.7257675,-84.9832435,66,65,65.5,64,65,67,71,75,69,62,63.5,67.5
DAYTONA BEACH,FL,29.2108147,-81.0228331,72.5,71,70,68,70,74.5,76,78,77.5,74,73,73.5
FORT MYERS,FL,26.640628,-81.8723084,72,70,69,66.5,67.5,72,73.5,74.5,75,72,72,72
GAINESVILLE,FL,29.6516344,-82.3248262,72,70.5,69.5,67,67.5,71,73,74.5,76.5,74,73.5,73.5
JACKSONVILLE,FL,30.3321838,-81.655651,71.5,69.5,68,67,67.5,72,73,75.5,76.5,74,72.5,73
KEY WEST,FL,24.5550593,-81.7799871,75.5,74,72,69.5,70.5,72.5,71,72,74.5,75,74.5,75.5
MIAMI,FL,25.7616798,-80.1917902,70.5,69.5,67.5,65,68,73.5,72,73.5,75.5,72.5,71.5,70.5
ORLANDO,FL,28.5383355,-81.3792365,71,69.5,68,65.5,67,72.5,73.5,75.5,75.5,72,72,72.5
PENSACOLA,FL,30.421309,-87.2169149,74.5,73,74.5,75,75.5,75,77,78.5,75.5,71.5,73,74.5
TALLAHASSEE,FL,30.4382559,-84.2807329,71,69,68.5,67,68,71.5,75,76.5,74,70,71,71.5
TAMPA,FL,27.950575,-82.4571776,71.5,70.5,69.5,67,67,72,74,76,74.5,72,71,72.5
VERO BEACH,FL,27.6386434,-80.3972736,72.5,71.5,70,68,70,70,71,72.5,71,69,67.5,69
WEST PALM BEACH,FL,26.7153424,-80.0533746,70.5,69.5,67.5,65.5,68.5,73.5,73.5,74,75.5,72,71,71
ATHENS,GA,33.9519347,-83.357567,68,66,65.5,64.5,69,69.5,72.5,73.5,73.5,70.5,68.5,68.5
ATLANTA,GA,33.7489954,-84.3879824,68,65,64,63,67,68.5,72,72.5,72,68,67.5,68.5
AUGUSTA,GA,33.4734978,-82.0105148,67.5,65,65.5,64.5,66.5,68,70,73,71.5,69.5,68.5,68
COLUMBUS,GA,32.4609764,-84.9877094,69.5,67,66.5,65.5,66,68,71.5,71.5,71,69,69,69.5
MACON,GA,32.8406946,-83.6324022,69,67.5,67.5,66.5,67,69,71.5,73.5,73.5,70,69,69.5
SAVANNAH,GA,32.0835407,-81.0998342,67.5,66,65.5,64,67,70.5,72.5,75,74.5,71,69,69
HILO,HI,19.7297222,-155.09,71.5,71,72.5,74,72.5,71,73.5,74,72.5,73.5,75,74
HONOLULU,HI,21.3069444,-157.8583333,70,67,64.5,61.5,59.5,58,58.5,58.5,60,62,66,68.5
KAHULUI,HI,20.8893351,-156.4729469,71,69,67.5,64.5,62,59.5,62,62.5,62,64,68,70
LIHUE,HI,21.9811111,-159.3711111,73.5,72,72,71.5,70,69.5,69.5,70,69.5,72,74,74
BOISE,ID,43.6187102,-116.2146068,75,68,57.5,52.5,50.5,46.5,36.5,36,42,51.5,67.5,75
LEWISTON,ID,46.4004089,-117.0011889,74.5,69,62,58,56.5,54,41.5,40,47.5,62.5,74,76.5
POCATELLO,ID,42.8713032,-112.4455344,76,72,63,54.5,53,51.5,44,42,47,55,68.5,76
CAIRO,IL,37.0053293,-89.1764608,69,65,58.5,53,56.5,55,56.5,56,54.5,52,58.5,67
CHICAGO,IL,41.8781136,-87.6297982,74,73,72,67.5,68,69,71.5,74.5,73.5,71,73,75.5
MOLINE,IL,41.5067003,-90.5151342,72.5,73,71.5,68.5,69.5,71.5,74.5,78,76,71,73,76
PEORIA,IL,40.6936488,-89.5889864,75.5,75,73,68.5,71,72.5,76,77.5,76,73.5,75.5,78
ROCKFORD,IL,42.2711311,-89.0939952,76,75.5,73.5,69.5,70,71.5,75,79,77.5,74,76,78.5
SPRINGFIELD,IL,39.7817213,-89.6501481,75.5,75,73.5,70,70,72.5,76,78,75.5,72,74.5,77.5
EVANSVILLE,IN,37.9715592,-87.5710898,74.5,72.5,71,69,72.5,72.5,75,76,76,72,73,75.5
FORT WAYNE,IN,41.079273,-85.1393513,76.5,75,71,66.5,66.5,67,69.5,73,72,71,74.5,78.5
INDIANAPOLIS,IN,39.768403,-86.158068,75.5,73,69.5,66,68,68.5,71.5,73,72,70.5,73.5,77
SOUTH BEND,IN,41.6763545,-86.2519898,76.5,74.5,69.5,65.5,65.5,66.5,69,72.5,72,71,74,78.5
DES MOINES,IA,41.6005448,-93.6091064,73.5,73,70.5,67.5,69,71,73,75,74,69.5,72.5,76
DUBUQUE,IA,42.5005583,-90.6645718,76,75,73.5,69,71.5,74.5,77,79.5,77.5,73.5,75.5,78.5
SIOUX CITY,IA,42.4999942,-96.4003069,75,75,73.5,68,69.5,72.5,76,79,76,70.5,74.5,77.5
WATERLOO,IA,42.492786,-92.3425775,75.5,76,75.5,71,71,73.5,76.5,79,77.5,73.5,76,78
CONCORDIA,KS,39.5708354,-97.6625396,72.5,71.5,69.5,69,73,73,70,72.5,71.5,68,72,73.5
DODGE CITY,KS,37.7527982,-100.0170787,68.5,68,66,64.5,69.5,67,64,66.5,67.5,64,66.5,68.5
GOODLAND,KS,39.350833,-101.7101722,67.5,65,62,60,64,61,60,62,59.5,61,66.5,67.5
TOPEKA,KS,39.0558235,-95.6890185,72,71,69.5,69.5,74,75.5,74.5,76,75.5,72,72.5,73.5
WICHITA,KS,37.688889,-97.336111,72.5,70.5,67.5,67.5,72.5,71,67,67.5,70,68.5,70.5,73
GREATER CINCINNATI AP,KY,37.8393332,-84.2700179,74,70.5,67.5,64,67.5,69,70.5,71,71.5,69,70.5,74
JACKSON,KY,37.5531457,-83.3835135,70,67,62,59,69,72.5,75.5,75,73,68,64.5,71
LEXINGTON,KY,38.0405837,-84.5037164,74,71,67,64.5,68.5,69.5,71.5,71.5,72,69.5,70.5,74.5
LOUISVILLE,KY,38.2526647,-85.7584557,70.5,68,65,62.5,67.5,68.5,69.5,70,70.5,68,68.5,71.5
PADUCAH,KY,37.0833893,-88.6000478,75.5,74,71.5,72,78,79,81,82,81,77,74.5,76.5
BATON ROUGE ,LA,30.4582829,-91.1403196,76.5,74.5,75,76,77.5,79,80.5,80.5,79.5,76,77.5,77
LAKE CHARLES,LA,30.2265949,-93.2173758,80,78.5,78.5,79.5,81,81.5,82.5,82,80.5,78,78.5,79.5
NEW ORLEANS,LA,29.9510658,-90.0715323,76.5,74.5,74.5,75,76,78,80,79.5,78,75,75,76.5
SHREVEPORT,LA,32.5251516,-93.7501789,74.5,72.5,72,74,76.5,77,76.5,75,75,74.5,75,75
CARIBOU,ME,46.8639995,-67.9980365,71,68.5,67,64.5,62.5,67,70,71,73.5,73.5,77,75
PORTLAND,ME,43.661471,-70.2553259,67.5,65,65,62.5,66,69,69,70.5,72,71,71,69
BALTIMORE,MD,39.2903848,-76.6121893,64,62.5,60.5,59.5,63.5,63.5,65,68,69.5,68,66,65
BLUE HILL,MA,42.2730584,-71.0936952,62,58,57.5,52,56,59,57,58.5,60,57,61,61.5
BOSTON,MA,42.3600825,-71.0588801,62.5,61,62,61,65,66,64,67.5,69,66.5,65.5,63.5
WORCESTER,MA,42.2625932,-71.8022934,66,63.5,62,57.5,60,65.5,66.5,68,70.5,67.5,68.5,68.5
ALPENA,MI,45.0616794,-83.4327528,75.5,72.5,70.5,65,64,65.5,68,72.5,75,73.5,76,77.5
DETROIT,MI,42.331427,-83.0457538,74.5,71.5,68.5,64.5,64.5,65,66.5,70,71,69.5,72.5,75
FLINT,MI,43.0125274,-83.6874562,75.5,72.5,69.5,65,65,67,68,72,73,71.5,74,77
GRAND RAPIDS,MI,42.9633599,-85.6680863,77,74.5,70.5,66,65,67,68.5,72,73,73,75,78
HOUGHTON LAKE,MI,44.314739,-84.7647496,78,75,71.5,65.5,63.5,67,69,73.5,75.5,75.5,78.5,80
LANSING,MI,42.732535,-84.5555347,76.5,73.5,70.5,65.5,65,67.5,69.5,73,74,73.5,76,79
MUSKEGON,MI,43.2341813,-86.2483921,77,75,70.5,66,65,68,70,74,74,73,74.5,77.5
SAULT STE. MARIE,MI,46.4952996,-84.3453169,76.5,74.5,73,68,66,72,74,76,78,77,79.5,79.5
DULUTH,MN,46.7866719,-92.1004852,75,72.5,72.5,67.5,67.5,73.5,75,78.5,78.5,74.5,77,78
INTERNATIONAL FALLS,MN,48.6023149,-93.4040679,73,70.5,70,66.5,66.5,73,75.5,78.5,79,76,79,78
MINNEAPOLIS-ST.PAUL,MN,44.9716692,-93.2806134,72.5,71.5,70.5,64,65.5,68.5,70,73,73.5,71,73.5,75
ROCHESTER,MN,44.0121221,-92.4801989,78.5,77.5,77,71,70.5,73,77,79.5,78,74,78,80.5
SAINT CLOUD,MN,45.5579451,-94.1632404,74.5,73.5,74,67.5,67.5,73,75,78,77,74,76,77
JACKSON,MS,32.2987573,-90.1848103,77,75.5,74.5,75.5,77.5,77.5,80,80,79,77,77.5,77.5
MERIDIAN,MS,32.3643098,-88.703656,77,75.5,75,76.5,78.5,78.5,81,80.5,79.5,77.5,77,77.5
TUPELO,MS,34.2576066,-88.7033859,76,75,72.5,74.5,79,79,80.5,80.5,80,79,77.5,77.5
COLUMBIA,MO,38.9517053,-92.3340724,74.5,73.5,71,69.5,76,77,76.5,77,77,73.5,74,76
KANSAS CITY,MO,39.0997265,-94.5785667,72.5,72,70.5,68.5,73.5,75,75,76,75.5,71.5,72,74
ST. LOUIS,MO,38.6270025,-90.1994042,73.5,72.5,70.5,67,70.5,70.5,72,73.5,74,71.5,72,75.5
SPRINGFIELD,MO,37.2089572,-93.2922989,72,71,69.5,69.5,75.5,76.5,75.5,74.5,76,72,72.5,73
BILLINGS,MT,45.7832856,-108.5006904,60.5,58.5,57,55,56,55,46.5,44.5,49.5,54,59,61
GLASGOW,MT,48.1969637,-106.6367127,76,75.5,69,58.5,57,59,53,50,54.5,61.5,72,76.5
GREAT FALLS,MT,47.4941836,-111.2833449,63,61.5,58.5,55.5,56,56.5,48.5,47,52,55,60.5,62.5
HELENA,MT,46.5883707,-112.0245054,67.5,63,58.5,54.5,54,55,47,47.5,52,57.5,65,69
KALISPELL,MT,48.1919889,-114.3168131,78.5,74.5,67,60.5,61.5,64.5,59,57,62,69,77.5,81
MISSOULA,MT,46.8787176,-113.996586,80,74.5,66,61,61,62,52,51,59,67,77.5,81.5
GRAND ISLAND,NE,40.9263957,-98.3420118,72.5,72,71,68,71,71,72.5,74,72,68,71,73
LINCOLN,NE,40.8257625,-96.6851982,73.5,74,72,69.5,73,72.5,73,76,74,71,73,75
NORFOLK,NE,42.0327234,-97.4137553,71.5,72.5,72,66.5,68.5,69.5,71.5,73.5,70.5,67.5,70.5,73
NORTH PLATTE,NE,41.1402759,-100.7601454,74,73,70.5,68.5,71.5,72.5,72,73,70.5,69.5,71.5,74
OMAHA EPPLEY AP,NE,41.2523634,-95.9979883,74,72,71,68,70.5,73,75,77,75.5,71,73.5,76
OMAHA (NORTH),NE,41.2523634,-95.9979883,63,63,59,53.5,55.5,56,63,62.5,60,55.5,65,67
SCOTTSBLUFF,NE,41.8666341,-103.6671662,66,62.5,59.5,59,60.5,59,58.5,60.5,59,60,64.5,67
VALENTINE,NE,42.8727833,-100.5509669,71,72.5,71,67.5,68.5,69,67.5,68.5,66,66,69,70
ELKO,NV,40.8324211,-115.7631232,70,66,59,52.5,50,42.5,35,35,39,46.5,60.5,68
ELY,NV,39.2474393,-114.8886296,64.5,63,56.5,51,48,39.5,36,38.5,41,48,58,63.5
LAS VEGAS,NV,36.1699412,-115.1398296,42.5,39.5,32,25.5,21.5,17,21.5,24.5,24,27.5,35,42.5
RENO,NV,39.5296329,-119.8138027,64,57,49.5,45,43.5,40,36.5,38,41,47.5,56.5,63
WINNEMUCCA,NV,40.9729584,-117.7356849,68.5,62,54.5,48.5,45,39,30,30,35.5,45,60,68.5
CONCORD,NH,43.2081366,-71.5375718,67,64,63.5,58.5,61,66,66.5,69,71.5,69,70,69.5
MT. WASHINGTON,NH,44.2705854,-71.3032723,83,83,84.5,84.5,81.5,82,84.5,85,83,79.5,82.5,82
ATLANTIC CITY AP,NJ,39.3642834,-74.4229266,67,65.5,64.5,62.5,66,67.5,68.5,71,72,70.5,69,68
NEWARK,NJ,40.735657,-74.1723667,64,60.5,58.5,55,59.5,60.5,60,63,65.5,64.5,64.5,64
ALBUQUERQUE,NM,35.0853336,-106.6055534,52,46,39,32,31.5,30,42.5,47,44.5,44,47.5,54.5
CLAYTON,NM,36.451693,-103.1841039,54.5,53,50,47.5,51.5,52,57,58.5,56,52.5,54,56.5
ROSWELL,NM,33.3942655,-104.5230242,54,48.5,41,36.5,40,43,49.5,53.5,55,52.5,52.5,55
ALBANY,NY,42.6525793,-73.7562317,70,66.5,64,59,63,66.5,67,70.5,73,71.5,71,72
BINGHAMTON,NY,42.0986867,-75.9179738,75,71.5,69.5,64.5,66,70,70,73,76,72.5,74,76
BUFFALO,NY,42.8864468,-78.8783689,75.5,74,71.5,66,64.5,67,66,69,71,70.5,73,76
ISLIP,NY,40.7298207,-73.2103934,67.5,65,65,63.5,65.5,62.5,64.5,66,67,66,64.5,62
NEW YORK C.PARK,NY,40.8024409,-73.9407654,62.5,61.5,60,58,62,64,64.5,66.5,67.5,65,65,63.5
NEW YORK (JFK AP),NY,40.7127837,-74.0059413,64,62,62,61,65,67,65.5,67.5,68.5,66.5,66,65
NEW YORK (LA GUARDIA AP),NY,40.7127837,-74.0059413,61.5,58.5,59,57,61,62,61.5,64,65,63,63,62.5
ROCHESTER,NY,43.16103,-77.6109219,73,71.5,69,64.5,64.5,67.5,67.5,71,73.5,72,72.5,75
SYRACUSE,NY,43.0481221,-76.1474244,72.5,70.5,68,63,64,67,67,70.5,73,72,73,75
ASHEVILLE,NC,35.5950581,-82.5514869,70,68,67,65.5,72,74.5,77,78,77.5,73,70,70.5
CAPE HATTERAS,NC,35.2443439,-75.5975296,73,72,71,69,72.5,74.5,77,76.5,74.5,72,72,72.5
CHARLOTTE,NC,35.2270869,-80.8431267,65.5,62.5,62,61,66.5,68,69.5,71.5,71.5,68.5,66.5,66
GREENSBORO-WNSTN-SALM-HGHPT,NC,35.7595731,-79.0192997,65.5,62.5,62,61,67,68,71,72.5,73,69.5,66,66
RALEIGH,NC,35.7795897,-78.6381787,65.5,63,63.5,62,68,69,71,73,73,71,67,66.5
WILMINGTON,NC,34.2257255,-77.9447102,67.5,65,66,63,68.5,71,73,75.5,74.5,71,68.5,68.5
BISMARCK,ND,46.8083268,-100.7837392,74,75,74,68,67.5,72,70,69.5,69.5,69,74.5,75.5
FARGO,ND,46.8771863,-96.7898034,75,75.5,77,69,65.5,71,73,73.5,73,72,76.5,76.5
WILLISTON,ND,48.1469683,-103.6179745,77,77.5,75,68,66.5,70,67.5,65.5,68.5,69.5,76,78
AKRON,OH,41.0814447,-81.5190053,75,72.5,68.5,64.5,66,68,69,72,73,70.5,72,75
CLEVELAND,OH,41.49932,-81.6943605,74,72.5,69.5,65,66.5,67.5,68,71,71.5,69.5,70.5,74
COLUMBUS,OH,39.9611755,-82.9987942,72,70,65.5,62.5,66,66.5,68.5,70.5,70.5,68,70,73.5
DAYTON,OH,39.7589478,-84.1916069,74.5,72.5,69,64.5,65.5,66,68,70.5,70.5,68.5,71.5,76
MANSFIELD,OH,40.75839,-82.5154471,77,75,71,66,67,68.5,69.5,72.5,73,70.5,73.5,78
TOLEDO,OH,41.6639383,-83.555212,75,73,69.5,65.5,65,66.5,68.5,73,72.5,70.5,73,77
YOUNGSTOWN,OH,41.0997803,-80.6495194,76,73.5,70.5,65,65.5,68,69.5,71.5,73,71,73,76
OKLAHOMA CITY,OK,35.4675602,-97.5164276,69.5,69,67,67.5,73.5,73.5,68,68,71.5,69.5,70,70
TULSA,OK,36.1539816,-95.992775,70.5,68,66,67,74,74.5,69.5,69.5,74,70.5,70,71
ASTORIA,OR,46.1878841,-123.8312534,82,79.5,79,78.5,79,79.5,79.5,80.5,80,81.5,82.5,83
EUGENE,OR,44.0520691,-123.0867536,86,81.5,78,74,73,70,62.5,62.5,65,77,85.5,87.5
MEDFORD,OR,42.3265152,-122.8755949,80,71.5,67.5,64,60,54.5,48.5,48.5,52,63.5,79,83
PENDLETON,OR,45.672075,-118.7885967,77.5,71.5,61.5,56.5,54,49.5,39,39.5,46,59.5,74.5,79
PORTLAND,OR,45.5230622,-122.6764816,80,75.5,72.5,70.5,68,65.5,62.5,63,66,75.5,81,82
SALEM,OR,44.9428975,-123.0350963,81.5,77,74,72,70,67.5,62,62,65.5,75,83,84.5
SEXTON SUMMIT,OR,42.0396908,-122.8254426,75.5,75,79,74.5,65.5,64.5,55.5,55,54,67.5,79,77.5
ALLENTOWN,PA,40.6084305,-75.4901833,68,65,63,61,64,65.5,66,70,71.5,70.5,69.5,69.5
ERIE,PA.,42.1292241,-80.085059,74.5,73.5,70.5,66.5,68,70,70.5,71.5,72.5,70,70,73.5
HARRISBURG,PA,40.2731911,-76.8867008,58,55.5,52,49.5,52,53,52.5,55,56.5,54.5,57,58.5
MIDDLETOWN/HARRISBURG I APT,PA,40.1942375,-76.7576672,65,63.5,61.5,59.5,63,63.5,64,67,69,67.5,66,65.5
PHILADELPHIA,PA,39.9525839,-75.1652215,65,62,61,59,62.5,63.5,64.5,66,68,67,66,65
PITTSBURGH,PA,40.4406248,-79.9958864,71,68.5,65.5,61,64,66,67.5,70,71,68.5,69,72
AVOCA,PA,41.3398022,-75.7363033,69.5,67,64,60,63.5,68,68,71,72.5,70,70,71
WILLIAMSPORT,PA,41.2411897,-77.0010786,68.5,66,64,61,65,68,69.5,72.5,74,72,70.5,70
BLOCK IS.,RI,41.172137,-71.5576045,65,65.5,65,65.5,66.5,69,72,71,70,66,65,65
PROVIDENCE,RI,41.8239891,-71.4128343,63.5,61,61,58,62.5,65.5,65,67,68.5,66.5,66.5,65
CHARLESTON AP,SC,32.7764749,-79.9310512,68,66,65.5,65,68.5,71.5,73.5,75.5,75,71.5,69,68.5
COLUMBIA,SC,34.0007104,-81.0348144,66.5,64,64,61.5,65,67,69,72,71.5,69,68,67
GREENVILLE-SPARTANBURG AP,SC,33.836081,-81.1637245,64.5,62.5,62,61.5,66.5,67.5,70,72,72,68,66,66
ABERDEEN,SD,45.4646985,-98.4864829,76.5,77.5,77.5,71.5,70.5,74.5,75,75.5,74,72.5,77.5,78.5
HURON,SD,44.3633173,-98.2142572,74.5,76,76,71.5,72,74.5,73.5,75,73.5,71.5,74.5,76
RAPID CITY,SD,44.0805434,-103.2310149,66.5,66.5,64,60,61.5,63,56.5,54,53.5,57.5,64,66.5
SIOUX FALLS,SD,43.5445959,-96.7311034,75,76,75,70.5,70.5,72,73,75.5,74.5,71.5,75,77.5
BRISTOL-JHNSN CTY-KNGSPRT,TN,35.5174913,-86.5804473,71,68.5,65.5,65,70.5,72,74.5,75,74,70.5,69.5,71.5
CHATTANOOGA,TN,35.0456297,-85.3096801,71,68,66,64.5,68.5,69.5,72,72.5,72,70.5,69.5,71
KNOXVILLE,TN,35.9606384,-83.9207392,72,69.5,66.5,65.5,70.5,71.5,73.5,74,73.5,72,71.5,73
MEMPHIS,TN,35.1495343,-90.0489801,70.5,69,66.5,67,70,70.5,72,71.5,72,68.5,68.5,71
NASHVILLE,TN,36.1626638,-86.7816016,72.5,70.5,67.5,68.5,74,74,75.5,76,76,73,72.5,73
ABILENE,TX,32.4487364,-99.7331439,64.5,64.5,61.5,61.5,68,67,61.5,62.5,67,65.5,65.5,64
AMARILLO,TX,35.2219971,-101.8312969,62,63,59,56.5,62,63.5,60.5,64.5,66.5,62,61.5,62
AUSTIN,TX,30.267153,-97.7430608,70.5,70,70,71.5,76,75,72.5,70.5,72,72,72,71
BROWNSVILLE,TX,25.9017472,-97.4974838,80.5,79,77.5,78,79.5,79,77.5,78,80.5,78.5,77.5,79
CORPUS CHRISTI,TX,27.8005828,-97.396381,79,78.5,77.5,78.5,82,81.5,80,79,79,77.5,77,77
DALLAS-FORT WORTH,TX,32.7554883,-97.3307658,70.5,70,69,70.5,74,72,66,65.5,70,70,71,70.5
DEL RIO,TX,29.3708857,-100.8958674,67.5,65,64,65.5,70,68.5,67,66.5,71,72,71,68
EL PASO,TX,31.7775757,-106.4424559,48,40,32.5,27,27.5,30,44.5,48,48,45,45,50
GALVESTON,TX,29.3013479,-94.7976958,77,74,74.5,75,73.5,70.5,70.5,69.5,68.5,65.5,72,76.5
HOUSTON,TX,29.7604267,-95.3698028,77,76.5,77,77,79,79.5,79.5,79,80,78,78,77.5
LUBBOCK,TX,33.5778631,-101.8551665,62,61.5,56,54.5,60.5,62,61.5,64.5,67,64.5,61,61.5
